restaurant name,street address,city/state/ZIP,source URL(s),boundary-verification method/evidence,Sports Likelihood,brief factual sports rationale
Domino's Pizza,3843 Rochester Road,"Troy, MI 48083",https://pizza.dominos.com/michigan/troy/3843-rochester-rd | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.574902, -83.129099; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official location page emphasizes pizza carryout and delivery rather than on-site sports viewing.
El Guanaco,1710 Livernois Road,"Troy, MI 48083",https://www.elguanacotroy.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.549312, -83.146798; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents a Salvadoran restaurant and publishes this Troy address; it makes no sports-viewing claim.
Euro Brunch Troy,3672 Rochester Road,"Troy, MI 48083",https://troyeurobrunch.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.572110, -83.127540; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official site presents a daytime brunch restaurant, not a sports-viewing venue."
Fogo de Chao,301 West Big Beaver Road,"Troy, MI 48084",https://fogodechao.com/location/troy/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.561187, -83.152644; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official Troy page presents full-service dining and Bar Fogo; the bar raises viewing likelihood, though no dedicated sports claim is made."
Jersey Mike's Subs,644 West Big Beaver Road,"Troy, MI 48084",https://www.jerseymikes.com/31015/troy-mi | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.562582, -83.162159; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service sandwich shop, not a sports-viewing venue."
Arby's,1150 Livernois Road,"Troy, MI 48084",https://www.arbys.com/locations/us/mi/troy/1150-livernois-rd/store-742/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 99.5 at 42.544771, -83.146269; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a current quick-service restaurant, not a sports-viewing venue."
Jimmy John's,5373 Crooks Road,"Troy, MI 48098",https://locations.jimmyjohns.com/mi/troy/sandwiches-1950.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.596553, -83.169727; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service sandwich shop, not a sports-viewing venue."
Jonny Cakes Cafe,4916 John R Road,"Troy, MI 48085",https://www.jonnycakescafe.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.591707, -83.108613; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official site presents a breakfast and lunch cafe, not a sports-viewing venue."
La Botana,5947 John R Road,"Troy, MI 48085",http://labotanamexicanfood.com/contact-us | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.606522, -83.110909; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents a Mexican restaurant; it makes no sports-viewing claim.
McDonald's,3039 Rochester Road,"Troy, MI 48083",https://www.mcdonalds.com/us/en-us/location/33596.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.563544, -83.129521; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service restaurant, not a sports-viewing venue."
McDonald's,4819 Rochester Road,"Troy, MI 48098",https://www.mcdonalds.com/us/en-us/location/3085.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 98.2 at 42.589487, -83.129756; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service restaurant, not a sports-viewing venue."
McDonald's,70 West Maple Road,"Troy, MI 48084",https://www.mcdonalds.com/us/en-us/location/34061.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.548784, -83.148297; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service restaurant, not a sports-viewing venue."
Miso Sushi & Grill,817 East Big Beaver Road,"Troy, MI 48083",https://www.misosushigrill.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.564128, -83.131253; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents a sushi restaurant; it makes no sports-viewing claim.
Mon Jin Lau,1515 East Maple Road,"Troy, MI 48083",https://monjinlau.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.549610, -83.121108; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official site presents full-service dining and a lounge/nightlife program; it is group-oriented, though no dedicated sports claim is made."
Morton's The Steakhouse,888 West Big Beaver Road,"Troy, MI 48084",https://www.mortons.com/location/mortons-the-steakhouse-troy-mi-detroit/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.562689, -83.165266; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official Troy page presents a full-service steakhouse with Bar 12-21; the bar raises viewing likelihood, though no dedicated sports claim is made."
Ocean Prime Detroit,2915 Coolidge Highway,"Troy, MI 48084",https://www.ocean-prime.com/locations-menus/detroit/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.560461, -83.187396; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official location page presents full-service dining, cocktails, and a lounge; no dedicated sports-viewing claim is made."
Panda Express,3110 Rochester Road,"Troy, MI 48083",https://www.pandaexpress.com/locations/mi/troy/2977 | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.564461, -83.127832; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service restaurant, not a sports-viewing venue."
Panera Bread,1484 Coolidge Highway,"Troy, MI 48084",https://locations.panerabread.com/mi/troy/1484-coolidge-highway.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.546179, -83.185349; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a bakery-cafe, not a sports-viewing venue."
Panera Bread,5569 Crooks Road,"Troy, MI 48098",https://locations.panerabread.com/mi/troy/5569-crooks-rd.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.599689, -83.169652; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a bakery-cafe, not a sports-viewing venue."
Paradise Biryani Pointe,4880 Rochester Road,"Troy, MI 48085",https://paradisebiryanitroy.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.590304, -83.128460; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents an Indian restaurant; it makes no sports-viewing claim.
Renee's Gourmet Pizzeria,1937 West Maple Road,"Troy, MI 48084",http://www.reneesgourmetpizzeria.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.546312, -83.171832; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents a pizzeria; it makes no sports-viewing claim.
Ridley's Bakery Cafe,4054 Rochester Road,"Troy, MI 48085",https://www.ridleysbakery.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.578548, -83.127530; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official site presents a bakery-cafe, not a sports-viewing venue."
Royal Indian Cuisine,3877 Rochester Road,"Troy, MI 48083",https://myroyalindiancuisine.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.575616, -83.129097; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official site presents an Indian restaurant; it makes no sports-viewing claim.
Seasons 52,1000 West Big Beaver Road,"Troy, MI 48084",https://www.seasons52.com/locations/mi/troy/troy/4549 | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.562791, -83.166838; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,Official location page presents a full-service grill and wine bar; no dedicated sports-viewing claim is made.
Starbucks,1470 West Maple Road,"Troy, MI 48084",https://www.starbucks.com/store-locator/store/17335 | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.548385, -83.167265; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official store page identifies a coffee shop, not a sports-viewing venue."
Starbucks,1921 East Big Beaver Road,"Troy, MI 48083",https://www.starbucks.com/store-locator/store/11747 | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.564666, -83.110256; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official store page identifies a coffee shop, not a sports-viewing venue."
Starbucks,5531 Crooks Road,"Troy, MI 48098",https://www.starbucks.com/store-locator/store/1031363 | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.599238, -83.169774; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official store page identifies a coffee shop, not a sports-viewing venue."
Subway,20 East Maple Road,"Troy, MI 48083",https://restaurants.subway.com/united-states/mi/troy/20-e-maple-rd | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.547911, -83.146349; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service sandwich shop, not a sports-viewing venue."
Subway,34 West Square Lake Road,"Troy, MI 48098",https://restaurants.subway.com/united-states/mi/troy/34-w-square-lake-rd | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.607085, -83.150996; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service sandwich shop, not a sports-viewing venue."
Taco Bell,3268 Rochester Road,"Troy, MI 48083",https://locations.tacobell.com/mi/troy/3268-rochester-road.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.567108, -83.127102; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service restaurant, not a sports-viewing venue."
Taco Bell,41167 Dequindre Road,"Troy, MI 48085",https://locations.tacobell.com/mi/troy/41167-dequindre-rd.html | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.594196, -83.090618; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service restaurant, not a sports-viewing venue."
The Great Greek Mediterranean Grill,708 West Big Beaver Road,"Troy, MI 48084",https://thegreatgreekgrill.com/locations/troy-mi/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.562447, -83.163538; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,Official location page presents a fast-casual Mediterranean restaurant; it makes no sports-viewing claim.
Tim Hortons,3331 Rochester Road,"Troy, MI 48083",https://locations.timhortons.com/en/mi/troy/3331-rochester-rd/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.567857, -83.128554; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a coffee and quick-service restaurant, not a sports-viewing venue."
Wendy's,3995 Rochester Road,"Troy, MI 48083",https://locations.wendys.com/united-states/mi/troy/3995-rochester-road | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.577243, -83.129099; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Low,"Official location page identifies a quick-service restaurant, not a sports-viewing venue."
Buffalo Wild Wings,1873 East Big Beaver Road,"Troy, MI 48083",https://www.buffalowildwings.com/locations/us/mi/troy/1873-east-big-beaver-road/sports-bar-612/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.564666, -83.110256; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",High,"Official Troy location URL and page identify this venue as a sports bar, with a restaurant food menu."
CJ Mahoney's Sports Bar and Grill,2511 Livernois Road,"Troy, MI 48083",https://www.cjmahoneystroy.com/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.557866, -83.148448; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",High,The official site calls the Troy business a sports bar and grill and publishes a food menu.
Sedona Taphouse,198 East Big Beaver Road,"Troy, MI 48083",https://sedonataphouse.com/locations/troy-mi/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.562110, -83.143223; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official Troy page shows current hours, a full food menu, drinks, and happy hour; no dedicated sports-viewing claim is made."
Kona Grill,30 East Big Beaver Road,"Troy, MI 48083",https://konagrill.com/location/troy-mi/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.561799, -83.146924; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official Troy page shows current hours, a full menu, bar service, cocktails, and recurring happy hour; no dedicated sports claim is made."
Granite City Food & Brewery,699 West Big Beaver Road,"Troy, MI 48084",https://www.gcfb.com/location/troy-michigan/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.561523, -83.161112; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,"Official Troy page identifies a food-and-brewery restaurant; the bar/brewery format raises viewing likelihood, though no dedicated sports claim is made."
Buddy's Pizza,987 Wilshire Drive,"Troy, MI 48084",https://buddyspizza.com/locations/troy/ | https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,"Esri geocode score 100.0 at 42.563677, -83.166911; Census TIGER/Line 2025 UNSD GEOID 2634260; polygon covers point.",Medium,Official Troy page identifies a dine-in pizza restaurant suited to groups; it makes no dedicated sports-viewing claim.
